,fips,per_capita_income,poverty_stat,household_income,mortgage_stat,school_enrollment_16-19,own_children_under18,SSI_income,grandparent_care,military_service,education_25,property_value_occupied,retirement_income,rent_over_income,state,county,tract,blockgroup
8191,290950021001028,9699,597,213,153,24,212,213,281,58,322,153,213,60,29,095,002100,1
8194,200379575001106,14952,467,342,94,12,12,342,316,123,365,94,342,248,20,037,957500,1
8196,290370610011116,29959,2900,1149,1101,152,499,1149,2102,348,2179,1101,1149,48,29,037,061001,1
8201,484391134083004,18903,1246,435,420,211,210,435,712,162,730,420,435,15,48,439,113408,3
8202,290470220001052,22986,1374,653,355,81,313,653,955,163,1013,355,653,298,29,047,022000,1
8205,201110003002017,19596,812,323,252,32,199,323,412,81,551,252,323,71,20,111,000300,2
8207,290950143002016,23931,2115,1006,478,147,459,1006,1290,124,1452,478,1006,528,29,095,014300,2
8208,200999505001047,25141,875,354,345,41,175,354,638,92,660,345,354,9,20,099,950500,1
8210,201079551004231,23182,1576,748,629,58,234,748,1224,185,1235,629,748,119,20,107,955100,4
8216,291414703002024,15706,1245,528,399,63,297,528,811,97,842,399,528,129,29,141,470300,2
8217,60590524152017,41123,2038,635,532,83,583,635,1223,139,1287,532,635,103,06,059,052415,2
8219,201730093012009,23556,1854,606,531,50,429,606,873,136,1141,531,606,75,20,173,009301,2
8229,290950147021020,38292,1002,401,347,65,181,401,697,89,711,347,401,54,29,095,014702,1
8232,80590114011008,17767,1506,680,235,29,401,680,1042,73,1125,235,680,445,08,059,011401,1
8233,290470206021010,24139,702,316,226,19,86,316,433,66,540,226,316,90,29,047,020602,1
8237,290950140051028,25889,1951,640,475,136,595,640,1079,95,1186,475,640,165,29,095,014005,1
8239,350079507005097,37363,779,384,319,4,56,384,643,149,690,319,384,65,35,007,950700,5
8240,121170221041018,31328,1271,474,438,23,238,474,787,84,900,438,474,36,12,117,022104,1
8241,517100015002008,36714,1389,656,218,128,244,656,712,198,851,218,656,438,51,710,001500,2
8242,201690003006009,19306,681,190,144,62,232,190,324,83,401,144,190,46,20,169,000300,6
8243,290470213072000,35152,3668,1417,1101,141,1106,1417,2033,164,2241,1101,1417,316,29,047,021307,2
8244,160439702001172,23887,1143,402,338,36,300,402,672,174,747,338,402,64,16,043,970200,1
8245,290950155002211,21426,564,336,143,47,39,336,369,94,418,143,336,193,29,095,015500,2
8247,201030712034036,26170,2232,817,585,144,757,817,1235,201,1335,585,817,232,20,103,071203,4
8253,201770031002004,8576,1201,458,53,80,513,458,510,68,567,53,458,405,20,177,003100,2
8254,121030273161012,35646,1039,656,635,0,0,656,1196,394,1203,635,656,21,12,103,027316,1
8255,471790610001013,17670,1174,516,204,50,167,516,737,175,789,204,516,312,47,179,061000,1
8256,121090205003032,29812,1734,743,534,96,274,743,1143,220,1303,534,743,209,12,109,020500,3
8257,201390101004057,30109,610,288,271,30,72,288,475,75,519,271,288,17,20,139,010100,4
8259,291650303071129,,20,10,0,0,0,10,20,0,20,0,10,10,29,165,030307,1
8260,484530011001046,77041,2469,1414,504,47,105,1414,1753,211,2335,504,1414,910,48,453,001100,1
8261,290370610021089,23861,4291,1537,1055,223,1210,1537,2229,431,2579,1055,1537,482,29,037,061002,1
8265,200599541005060,18881,1772,687,506,111,493,687,1031,137,1084,506,687,181,20,059,954100,5
8269,295101055002004,23542,1334,578,263,50,204,578,777,146,891,263,578,315,29,510,105500,2
8270,200119558001136,27990,1267,556,500,71,249,556,1026,196,1081,500,556,56,20,011,955800,1
8271,401430007001000,10710,1011,319,221,98,104,319,521,49,541,221,319,98,40,143,000700,1
8272,170312101003009,24546,1237,450,195,0,276,450,729,28,835,195,450,255,17,031,210100,3
8273,261635883001011,33433,1043,428,416,67,212,428,707,81,715,416,428,12,26,163,588300,1
8274,480913105012027,20298,1699,592,341,60,216,592,1063,129,1209,341,592,251,48,091,310501,2
8276,481130143025005,17298,1888,673,314,104,317,673,1141,87,1246,314,673,359,48,113,014302,5
8277,80370003021235,37029,848,355,293,32,251,355,586,73,586,293,355,62,08,037,000302,1
8279,401539534002088,32309,487,269,150,18,61,269,289,7,340,150,269,119,40,153,953400,2
8280,290950146011022,28595,1638,852,626,41,232,852,1222,283,1369,626,852,226,29,095,014601,1
8283,291019609003125,17615,1799,647,483,67,489,647,1073,226,1174,483,647,164,29,101,960900,3
8284,180731009023061,24484,3200,1179,929,200,1007,1179,1916,174,1941,929,1179,250,18,073,100902,3
8285,484391115303007,38074,1571,609,577,99,339,609,1044,101,1084,577,609,32,48,439,111530,3
8286,40190015001002,12361,1220,702,52,175,40,702,236,18,423,52,702,650,04,019,001500,1
8287,290950007001012,10761,1295,343,167,186,318,343,514,16,701,167,343,176,29,095,000700,1
8292,481677235023000,21928,1191,516,411,140,207,516,853,106,853,411,516,105,48,167,723502,3
8293,201770039022120,33520,1762,714,652,172,366,714,1174,279,1250,652,714,62,20,177,003902,2
8294,290554503012063,23002,1969,761,648,13,455,761,1268,179,1371,648,761,113,29,055,450301,2
8295,200870203001149,21251,1788,732,604,52,420,732,1055,173,1212,604,732,128,20,087,020300,1
8296,202090400021033,,0,0,0,0,0,0,0,0,0,0,0,0,20,209,040002,1
8297,80350140091025,21404,999,308,283,15,332,308,458,39,537,283,308,25,08,035,014009,1
8298,290839506004007,20216,1518,569,402,24,261,569,911,131,974,402,569,167,29,083,950600,4
8299,201730054002011,26054,596,483,299,29,0,483,567,69,567,299,483,184,20,173,005400,2
8300,290470213101043,29591,2389,829,770,36,763,829,1225,120,1570,770,829,59,29,047,021310,1
8301,201459702004054,12128,1186,491,416,672,93,491,1564,409,1745,416,491,75,20,145,970200,4
8302,201679739002235,20218,1099,505,414,33,207,505,778,117,815,414,505,91,20,167,973900,2
8303,132419702011079,16599,1589,685,334,29,283,685,1044,160,1178,334,685,351,13,241,970201,1
8304,290190015031034,19396,749,287,213,0,263,287,405,0,473,213,287,74,29,019,001503,1
8305,51239601001242,12439,501,217,122,0,40,217,403,71,435,122,217,95,05,123,960100,1
8306,470090116021034,21405,1298,582,454,7,344,582,710,105,884,454,582,128,47,009,011602,1
8307,401091050001006,7354,891,232,157,93,216,232,339,0,418,157,232,75,40,109,105000,1
8308,80590117282015,67685,1208,561,507,61,111,561,998,191,1025,507,561,54,08,059,011728,2
8309,60371239011009,19290,2482,856,110,110,417,856,1473,105,1749,110,856,746,06,037,123901,1
8310,291650300022026,18257,2006,996,78,75,368,996,1118,117,1345,78,996,918,29,165,030002,2
8312,121170216091007,33921,2187,741,729,176,573,741,1408,121,1476,729,741,12,12,117,021609,1
8313,310550066024005,35750,1098,410,126,32,362,410,480,23,553,126,410,284,31,055,006602,4
8314,291414705002043,17506,711,375,279,5,91,375,997,205,1051,279,375,96,29,141,470500,2
8316,484391115142013,20283,2377,698,592,217,728,698,1197,178,1280,592,698,106,48,439,111514,2
8317,290950116001008,17535,750,408,100,60,183,408,417,13,467,100,408,308,29,095,011600,1
8319,481130173043015,33248,2412,656,643,224,815,656,1229,133,1350,643,656,13,48,113,017304,3
8320,80410004003018,27249,1035,375,242,25,214,375,615,74,656,242,375,133,08,041,000400,3
8321,201730010002015,12798,1686,606,334,149,613,606,679,47,825,334,606,272,20,173,001000,2
8322,120990015004000,12099,657,265,169,45,98,265,431,63,463,169,265,96,12,099,001500,4
8325,201550008003062,13267,633,302,223,38,188,302,320,70,364,223,302,79,20,155,000800,3
8326,290950119001005,22914,766,382,233,84,49,382,504,91,534,233,382,149,29,095,011900,1
8327,290950150002028,21266,681,245,214,22,125,245,450,87,495,214,245,31,29,095,015000,2
8329,310550002003036,13312,306,146,69,33,61,146,397,51,419,69,146,77,31,055,000200,3
8330,120190309024004,21409,2289,831,458,229,717,831,957,229,1199,458,831,373,12,019,030902,4
8331,200050818001016,31044,774,325,245,22,99,325,491,86,583,245,325,80,20,005,081800,1
8333,201579783001126,16745,931,439,348,34,207,439,605,99,647,348,439,91,20,157,978300,1
8334,530610520062018,32614,1400,478,384,146,380,478,813,161,859,384,478,94,53,061,052006,2
