,fips,per_capita_income,poverty_stat,household_income,mortgage_stat,school_enrollment_16-19,own_children_under18,SSI_income,grandparent_care,military_service,education_25,property_value_occupied,retirement_income,rent_over_income,state,county,tract,blockgroup
823,080010093163009,32608,1024,644,574,0,0,644,1024,228,1024,574,644,70,08,001,009316,3
824,450130011021024,14920,1500,769,561,79,259,769,1025,152,1061,561,769,208,45,013,001102,1
825,120860189004005,22661,2198,660,556,212,811,660,1167,53,1265,556,660,104,12,086,018900,4
826,120110204042005,18659,4098,1046,952,321,910,1046,2370,179,2607,952,1046,94,12,011,020404,2
827,170318426002032,12111,592,132,99,23,181,132,322,29,348,99,132,33,17,031,842600,2
828,400770871002205,18292,980,403,313,69,189,403,668,92,705,313,403,90,40,077,087100,2
829,190130014005003,49089,1014,464,440,9,127,464,809,128,854,440,464,24,19,013,001400,5
830,271711008024033,30594,2914,958,890,130,997,958,1501,119,1738,890,958,68,27,171,100802,4
831,291319626004005,22882,714,342,296,49,81,342,568,130,597,296,342,46,29,131,962600,4
832,180973504001004,17551,807,394,152,0,100,394,424,35,593,152,394,242,18,097,350400,1
833,040070005003091,29859,3139,1360,1096,72,561,1360,2254,444,2453,1096,1360,264,04,007,000500,3
834,261450009001003,9794,491,223,68,0,165,223,264,69,298,68,223,155,26,145,000900,1
835,200870201015029,26457,1629,614,614,96,400,614,1113,78,1133,614,614,0,20,087,020101,5
836,080410050001016,24805,1541,571,445,106,420,571,863,256,999,445,571,126,08,041,005000,1
837,281639504001092,23146,893,216,162,120,286,216,497,96,497,162,216,54,28,163,950400,1
838,060670074031009,17840,2122,591,520,162,499,591,1031,207,1243,520,591,71,06,067,007403,1
839,340258082003004,37989,522,382,175,0,72,382,366,65,382,175,382,207,34,025,808200,3
840,270370601032005,37740,1483,611,470,97,426,611,915,104,935,470,611,141,27,037,060103,2
841,131171304052004,34518,1825,562,484,137,365,562,1077,74,1237,484,562,78,13,117,130405,2
842,291059601005123,14426,1280,566,418,50,311,566,892,115,911,418,566,148,29,105,960100,5
843,291892103004000,17150,971,432,218,25,146,432,574,32,702,218,432,214,29,189,210300,4
844,295101269003025,7685,1322,393,335,435,408,393,471,24,545,335,393,58,29,510,126900,3
845,471570101102003,12719,1879,609,203,112,497,609,806,91,924,203,609,406,47,157,010110,2
846,482211602071000,24826,1205,506,444,154,164,506,860,190,877,444,506,62,48,221,160207,1
847,150030042001003,37716,1315,811,384,0,31,811,896,186,1157,384,811,427,15,003,004200,1
848,060710045031025,34935,1828,529,498,138,414,529,998,106,1173,498,529,31,06,071,004503,1
849,170318188002016,25737,995,330,237,95,253,330,649,39,660,237,330,93,17,031,818800,2
850,201730081002120,22775,1869,749,665,61,401,749,1217,138,1305,665,749,84,20,173,008100,2
851,181050010023008,38011,1230,531,307,31,359,531,635,47,700,307,531,224,18,105,001002,3
852,291594801003141,20144,864,339,289,67,138,339,484,63,619,289,339,50,29,159,480100,3
853,171635033043000,22741,1851,649,574,81,506,649,893,269,1095,574,649,75,17,163,503304,3
854,170316605004006,18811,1060,296,171,118,290,296,565,45,597,171,296,125,17,031,660500,4
855,170318047163012,37477,1161,467,240,79,154,467,812,16,855,240,467,227,17,031,804716,3
856,290119603004036,21786,873,319,252,15,328,319,497,53,524,252,319,67,29,011,960300,4
857,040159520041065,19315,3775,1615,1171,66,585,1615,2941,509,3066,1171,1615,444,04,015,952004,1
858,051430111023024,14512,1059,446,138,41,242,446,469,97,555,138,446,308,05,143,011102,3
859,292134801061139,24286,1762,791,414,0,199,791,1126,160,1396,414,791,377,29,213,480106,1
860,281339504021021,5879,1286,402,223,34,270,402,541,40,609,223,402,179,28,133,950402,1
861,261635727004014,28532,1364,560,533,101,202,560,893,95,1009,533,560,27,26,163,572700,4
862,131210087004015,23167,1027,567,111,64,181,567,644,0,699,111,567,456,13,121,008700,4
863,290414701001424,18181,1116,403,379,21,195,403,884,123,929,379,403,24,29,041,470100,1
864,330150500002051,39599,2698,1067,1015,119,511,1067,1911,248,2039,1015,1067,52,33,015,050000,2
865,340230037003017,26669,999,399,293,0,188,399,563,89,654,293,399,106,34,023,003700,3
866,202070966001423,24963,1707,823,617,86,212,823,1240,291,1297,617,823,206,20,207,096600,1
867,291770801003161,24375,1224,407,324,47,340,407,695,47,777,324,407,83,29,177,080100,3
868,291833119031006,34099,1917,925,551,93,267,925,1349,317,1530,551,925,374,29,183,311903,1
869,060670074161010,19265,1888,761,570,91,479,761,1228,156,1339,570,761,191,06,067,007416,1
870,201279637003072,18470,723,330,246,50,107,330,445,70,496,246,330,84,20,127,963700,3
871,120190301031024,25091,1980,658,624,143,230,658,1396,392,1445,624,658,34,12,019,030103,1
872,290614702003047,16743,1427,490,306,61,480,490,745,117,864,306,490,184,29,061,470200,3
873,292134804021042,17685,911,400,364,24,180,400,635,92,678,364,400,36,29,213,480402,1
874,381010103011009,25892,1146,461,283,41,279,461,594,144,733,283,461,178,38,101,010301,1
875,291019609002175,22237,1418,530,433,69,428,530,838,157,920,433,530,97,29,101,960900,2
876,271370011001015,38718,1363,479,342,105,274,479,723,87,851,342,479,137,27,137,001100,1
877,271617905001049,23763,2006,854,758,106,452,854,1258,165,1376,758,854,96,27,161,790500,1
878,270531112002000,49558,648,304,224,8,120,304,469,13,500,224,304,80,27,053,111200,2
879,200150201001267,25604,1225,522,361,77,274,522,717,107,780,361,522,161,20,015,020100,1
880,390490097111015,22410,1273,493,375,48,248,493,753,177,809,375,493,118,39,049,009711,1
881,390610101003010,22875,1135,580,301,16,231,580,793,75,871,301,580,279,39,061,010100,3
882,481130078213000,11921,1162,415,14,50,337,415,413,0,596,14,415,401,48,113,007821,3
883,371119707001097,15660,1344,640,413,79,168,640,904,163,951,413,640,227,37,111,970700,1
884,201170605102033,19460,1805,807,579,78,438,807,1129,156,1184,579,807,228,20,117,060510,2
885,390351078022008,31192,2126,1570,0,58,68,1570,987,201,1562,0,1570,1570,39,035,107802,2
886,291534701003216,17984,1010,361,286,64,159,361,707,105,722,286,361,75,29,153,470100,3
887,470459642004010,18711,916,384,209,108,203,384,482,61,593,209,384,175,47,045,964200,4
888,290259501002097,20767,530,232,166,31,113,232,361,60,378,166,232,66,29,025,950100,2
889,130590012001001,29054,1678,928,269,29,239,928,1037,77,1145,269,928,659,13,059,001200,1
